iter	Passed	Remaining
0	118	118502
1	121	60631
2	124	41451
3	127	31724
4	130	25897
5	133	22060
6	135	19226
7	137	17034
8	139	15323
9	140	13921
10	141	12765
11	143	11821
12	145	11056
13	146	10349
14	148	9744
15	149	9203
16	150	8728
17	152	8306
18	153	7946
19	155	7613
20	156	7295
21	157	6994
22	158	6715
23	158	6464
24	159	6238
25	160	6025
26	161	5830
27	162	5654
28	163	5479
29	164	5314
30	165	5176
31	166	5041
32	167	4905
33	168	4776
34	168	4655
35	169	4541
36	170	4434
37	171	4332
38	172	4239
39	172	4145
40	173	4061
41	174	3978
42	175	3897
43	176	3828
44	177	3772
45	178	3706
46	179	3643
47	180	3578
48	181	3515
49	181	3456
50	182	3400
51	183	3344
52	184	3293
53	185	3244
54	186	3196
55	186	3150
56	187	3107
57	188	3061
58	189	3018
59	190	2977
60	190	2935
61	191	2894
62	191	2855
63	192	2816
64	193	2780
65	194	2747
66	195	2715
67	195	2679
68	196	2648
69	197	2622
70	198	2593
71	199	2566
72	199	2537
73	200	2507
74	201	2479
75	201	2452
76	202	2424
77	203	2400
78	203	2374
79	204	2349
80	204	2325
81	205	2301
82	206	2277
83	206	2255
84	207	2230
85	208	2211
86	208	2188
87	209	2173
88	210	2155
89	211	2135
90	211	2116
91	212	2097
92	213	2078
93	213	2059
94	214	2041
95	215	2024
96	215	2007
97	216	1990
98	216	1973
99	217	1958
100	218	1942
101	218	1924
102	219	1909
103	219	1894
104	220	1882
105	221	1871
106	222	1858
107	223	1847
108	224	1834
109	225	1821
110	225	1807
111	226	1795
112	227	1784
113	228	1772
114	228	1760
115	229	1747
116	230	1736
117	230	1725
118	231	1712
119	232	1701
120	232	1690
121	233	1679
122	233	1665
123	234	1655
124	235	1646
125	236	1637
126	236	1627
127	237	1615
128	237	1605
129	238	1596
130	239	1587
131	239	1577
132	240	1568
133	241	1560
134	242	1551
135	242	1542
136	243	1533
137	243	1523
138	244	1514
139	245	1507
140	246	1499
141	246	1490
142	247	1483
143	248	1475
144	248	1468
145	249	1460
146	250	1452
147	250	1444
148	251	1436
149	252	1428
150	252	1420
151	253	1412
152	253	1404
153	254	1398
154	255	1391
155	255	1383
156	256	1376
157	256	1369
158	257	1361
159	258	1354
160	258	1347
161	259	1341
162	259	1334
163	260	1328
164	261	1323
165	262	1318
166	263	1312
167	263	1305
168	264	1299
169	264	1292
170	265	1286
171	265	1279
172	266	1273
173	267	1268
174	267	1262
175	268	1256
176	268	1250
177	269	1244
178	270	1238
179	270	1232
180	270	1226
181	271	1220
182	272	1215
183	272	1210
184	273	1205
185	274	1200
186	275	1195
187	275	1191
188	276	1186
189	277	1180
190	277	1176
191	278	1171
192	278	1166
193	279	1160
194	279	1155
195	280	1150
196	281	1145
197	281	1141
198	282	1137
199	283	1132
200	283	1127
201	284	1123
202	284	1118
203	285	1113
204	286	1109
205	286	1105
206	287	1100
207	288	1097
208	289	1093
209	289	1090
210	290	1085
211	290	1081
212	291	1076
213	291	1072
214	292	1067
215	293	1063
216	293	1059
217	294	1055
218	294	1051
219	295	1047
220	295	1043
221	296	1039
222	297	1035
223	297	1031
224	298	1027
225	298	1023
226	299	1020
227	300	1017
228	300	1013
229	301	1010
230	302	1007
231	303	1003
232	303	1000
233	304	996
234	305	992
235	305	989
236	306	985
237	306	981
238	307	978
239	307	975
240	308	971
241	309	968
242	309	964
243	310	961
244	310	957
245	311	954
246	312	951
247	312	948
248	313	945
249	314	942
250	314	939
251	315	936
252	316	934
253	317	931
254	317	928
255	318	924
256	318	921
257	319	918
258	319	915
259	320	912
260	321	909
261	321	906
262	322	903
263	322	900
264	323	897
265	324	894
266	324	891
267	325	888
268	326	885
269	326	883
270	327	880
271	327	877
272	328	875
273	329	872
274	330	870
275	330	867
276	331	865
277	332	862
278	332	859
279	333	856
280	333	853
281	334	851
282	335	848
283	335	846
284	336	843
285	336	840
286	337	838
287	337	835
288	338	833
289	339	830
290	340	828
291	340	826
292	341	823
293	342	821
294	342	819
295	343	816
296	344	814
297	344	811
298	345	809
299	345	806
300	346	804
301	346	801
302	347	799
303	348	796
304	348	795
305	349	792
306	350	790
307	350	787
308	351	785
309	351	783
310	352	780
311	353	778
312	353	776
313	354	774
314	355	772
315	355	770
316	356	768
317	357	766
318	357	763
319	358	761
320	358	759
321	359	756
322	360	754
323	360	752
324	361	750
325	361	748
326	362	746
327	363	744
328	363	741
329	364	739
330	364	737
331	365	735
332	366	733
333	366	731
334	367	729
335	368	727
336	369	726
337	369	724
338	370	722
339	370	720
340	371	718
341	372	716
342	372	713
343	373	711
344	373	709
345	374	707
346	375	705
347	375	703
348	376	701
349	376	699
350	377	697
351	377	695
352	378	693
353	378	691
354	380	690
355	380	689
356	382	688
357	383	687
358	384	685
359	384	684
360	385	682
361	386	680
362	386	678
363	387	676
364	387	674
365	388	672
366	389	671
367	389	669
368	390	667
369	390	665
370	391	663
371	392	661
372	392	660
373	393	658
374	394	656
375	394	655
376	395	654
377	396	652
378	397	650
379	397	648
380	398	647
381	399	645
382	399	643
383	400	641
384	400	640
385	401	638
386	401	636
387	402	634
388	403	633
389	403	631
390	404	630
391	405	628
392	405	626
393	406	624
394	406	623
395	407	621
396	408	620
397	409	619
398	410	618
399	410	616
400	411	614
401	412	613
402	412	611
403	413	609
404	413	607
405	414	606
406	414	604
407	415	602
408	416	601
409	416	599
410	417	598
411	417	596
412	418	594
413	419	593
414	419	591
415	420	590
416	421	588
417	421	587
418	422	586
419	423	584
420	424	583
421	424	581
422	425	580
423	425	578
424	426	576
425	426	575
426	427	573
427	428	572
428	428	570
429	429	569
430	430	567
431	430	566
432	431	564
433	432	563
434	432	562
435	433	560
436	434	559
437	435	558
438	435	557
439	436	556
440	437	554
441	438	553
442	438	551
443	439	550
444	439	548
445	440	546
446	440	545
447	441	544
448	442	542
449	442	541
450	443	539
451	443	538
452	444	536
453	444	535
454	445	533
455	446	532
456	446	531
457	447	529
458	448	528
459	449	527
460	450	526
461	450	524
462	451	523
463	451	521
464	452	520
465	452	519
466	453	517
467	454	516
468	454	514
469	455	513
470	455	512
471	456	510
472	457	509
473	457	507
474	458	506
475	458	504
476	459	503
477	460	502
478	460	501
479	461	499
480	462	498
481	462	497
482	463	496
483	464	495
484	464	493
485	465	492
486	466	490
487	466	489
488	467	488
489	467	486
490	468	485
491	469	484
492	469	483
493	470	481
494	470	480
495	471	479
496	472	477
497	472	476
498	473	475
499	474	474
500	474	472
501	475	471
502	476	470
503	477	469
504	477	468
505	478	466
506	478	465
507	479	464
508	479	462
509	480	461
510	481	460
511	481	459
512	482	458
513	483	456
514	483	455
515	484	454
516	484	452
517	485	451
518	486	450
519	486	449
520	487	447
521	487	446
522	488	445
523	489	444
524	490	443
525	491	442
526	491	441
527	492	440
528	492	438
529	493	437
530	493	436
531	494	435
532	495	433
533	495	432
534	496	431
535	496	430
536	497	428
537	498	427
538	498	426
539	499	425
540	500	424
541	500	423
542	501	421
543	502	421
544	503	420
545	504	419
546	504	417
547	505	416
548	505	415
549	506	414
550	506	412
551	507	411
552	508	410
553	508	409
554	509	408
555	509	407
556	510	405
557	510	404
558	511	403
559	512	402
560	512	401
561	513	400
562	514	398
563	514	397
564	515	396
565	516	395
566	517	394
567	517	393
568	518	392
569	518	391
570	519	390
571	519	389
572	520	387
573	521	386
574	521	385
575	522	384
576	522	383
577	523	382
578	524	381
579	524	379
580	525	378
581	525	377
582	526	376
583	526	375
584	527	374
585	528	373
586	528	372
587	529	371
588	530	370
589	531	369
590	531	368
591	532	366
592	532	365
593	533	364
594	534	363
595	534	362
596	535	361
597	535	360
598	536	359
599	536	357
600	537	356
601	538	355
602	538	354
603	539	353
604	540	352
605	540	351
606	541	350
607	542	349
608	543	348
609	543	347
610	544	346
611	545	345
612	545	344
613	546	343
614	546	342
615	547	341
616	548	340
617	548	339
618	549	337
619	549	336
620	550	335
621	550	334
622	551	333
623	552	332
624	552	331
625	553	330
626	553	329
627	554	328
628	554	327
629	555	326
630	556	325
631	557	324
632	557	323
633	558	322
634	559	321
635	559	320
636	560	319
637	560	318
638	561	317
639	561	316
640	562	315
641	563	313
642	563	312
643	564	311
644	564	310
645	565	309
646	566	308
647	566	307
648	567	306
649	567	305
650	568	304
651	569	303
652	570	303
653	571	302
654	571	301
655	572	300
656	572	299
657	573	298
658	574	297
659	574	296
660	575	294
661	575	293
662	576	292
663	576	291
664	577	290
665	577	289
666	578	288
667	579	287
668	579	286
669	580	285
670	581	284
671	581	283
672	582	283
673	583	282
674	584	281
675	584	280
676	585	279
677	585	278
678	586	277
679	587	276
680	587	275
681	588	274
682	588	273
683	589	272
684	590	271
685	590	270
686	591	269
687	591	268
688	592	267
689	593	266
690	593	265
691	594	264
692	594	263
693	595	262
694	596	261
695	597	260
696	597	259
697	598	258
698	598	257
699	599	256
700	600	255
701	600	255
702	601	254
703	601	253
704	602	252
705	602	251
706	603	250
707	604	249
708	604	248
709	605	247
710	605	246
711	606	245
712	607	244
713	607	243
714	608	242
715	608	241
716	609	240
717	610	239
718	610	238
719	611	237
720	612	236
721	612	235
722	613	235
723	614	234
724	614	233
725	615	232
726	615	231
727	616	230
728	616	229
729	617	228
730	618	227
731	618	226
732	619	225
733	619	224
734	620	223
735	621	222
736	621	221
737	622	220
738	623	220
739	623	219
740	624	218
741	625	217
742	625	216
