iter	Passed	Remaining
0	133	133814
1	136	67966
2	138	46174
3	141	35141
4	144	28740
5	146	24321
6	149	21213
7	152	18892
8	155	17152
9	158	15647
10	160	14427
11	162	13401
12	164	12513
13	166	11741
14	168	11080
15	170	10464
16	171	9912
17	172	9418
18	173	8973
19	175	8582
20	176	8224
21	177	7896
22	178	7603
23	180	7338
24	181	7077
25	182	6844
26	183	6630
27	185	6422
28	186	6235
29	187	6060
30	188	5887
31	189	5724
32	190	5569
33	190	5424
34	191	5288
35	192	5159
36	193	5036
37	194	4922
38	195	4812
39	196	4707
40	197	4613
41	198	4518
42	198	4426
43	199	4338
44	200	4252
45	201	4172
46	201	4094
47	202	4022
48	203	3952
49	204	3883
50	205	3815
51	205	3749
52	206	3691
53	207	3633
54	208	3577
55	209	3525
56	210	3474
57	210	3425
58	211	3373
59	212	3323
60	212	3275
61	213	3229
62	214	3183
63	214	3138
64	215	3096
65	215	3054
66	216	3013
67	217	2975
68	217	2937
69	218	2900
70	218	2864
71	219	2829
72	220	2796
73	220	2762
74	221	2730
75	221	2698
76	222	2667
77	223	2636
78	223	2607
79	224	2579
80	224	2552
81	225	2525
82	226	2497
83	226	2471
84	227	2446
85	227	2420
86	228	2396
87	228	2371
88	229	2349
89	230	2327
90	230	2305
91	231	2283
92	232	2263
93	232	2242
94	233	2222
95	233	2203
96	234	2184
97	235	2165
98	235	2146
99	236	2126
100	236	2108
101	237	2090
102	237	2072
103	238	2054
104	239	2038
105	239	2022
106	240	2007
107	241	1993
108	241	1977
109	242	1961
110	242	1946
111	243	1930
112	243	1915
113	244	1900
114	245	1885
115	245	1871
116	245	1856
117	246	1842
118	247	1828
119	247	1815
120	248	1802
121	248	1788
122	249	1776
123	249	1764
124	250	1751
125	250	1739
126	251	1726
127	251	1715
128	252	1703
129	252	1692
130	253	1680
131	253	1669
132	254	1659
133	255	1650
134	256	1641
135	256	1631
136	257	1620
137	257	1610
138	258	1600
139	258	1589
140	259	1579
141	259	1569
142	260	1559
143	260	1550
144	261	1540
145	261	1531
146	262	1522
147	262	1513
148	263	1505
149	264	1496
150	264	1487
151	265	1479
152	265	1470
153	266	1462
154	266	1454
155	267	1446
156	267	1437
157	268	1430
158	268	1422
159	269	1415
160	270	1407
161	270	1400
162	271	1393
163	271	1385
164	272	1378
165	272	1371
166	273	1363
167	273	1356
168	274	1349
169	274	1342
170	275	1335
171	276	1329
172	276	1322
173	277	1315
174	277	1309
175	278	1302
176	278	1296
177	279	1289
178	279	1283
179	280	1277
180	280	1271
181	281	1265
182	282	1259
183	282	1253
184	283	1247
185	283	1241
186	284	1236
187	284	1230
188	285	1225
189	286	1219
190	286	1214
191	287	1209
192	287	1204
193	288	1199
194	289	1195
195	290	1190
196	291	1186
197	291	1181
198	292	1176
199	292	1171
200	293	1166
201	294	1161
202	294	1157
203	295	1152
204	295	1147
205	296	1143
206	297	1138
207	297	1133
208	298	1129
209	299	1125
210	299	1121
211	300	1118
212	301	1114
213	302	1110
214	303	1106
215	303	1102
216	304	1098
217	304	1093
218	305	1089
219	306	1085
220	306	1081
221	307	1076
222	307	1072
223	308	1068
224	308	1063
225	309	1059
226	309	1055
227	310	1051
228	310	1047
229	311	1042
230	312	1038
231	312	1034
232	313	1030
233	313	1026
234	314	1023
235	315	1020
236	315	1016
237	316	1013
238	317	1010
239	317	1006
240	318	1003
241	319	999
242	319	995
243	320	991
244	320	987
245	321	984
246	321	980
247	322	976
248	322	973
249	323	969
250	323	965
251	324	962
252	324	959
253	325	955
254	325	952
255	326	949
256	327	945
257	327	942
258	328	939
259	328	935
260	329	932
261	330	929
262	330	926
263	331	924
264	332	921
265	332	918
266	333	915
267	333	912
268	334	908
269	334	905
270	335	902
271	335	899
272	336	896
273	336	892
274	337	889
275	338	887
276	338	884
277	339	881
278	339	878
279	340	875
280	340	872
281	341	869
282	341	866
283	342	863
284	342	860
285	343	857
286	344	854
287	344	851
288	345	849
289	346	847
290	346	844
291	347	842
292	348	840
293	348	837
294	349	834
295	349	832
296	350	829
297	350	826
298	351	823
299	351	821
300	352	818
301	352	815
302	353	813
303	354	810
304	354	808
305	355	805
306	355	802
307	356	800
308	356	797
309	357	795
310	357	792
311	358	790
312	358	787
313	359	785
314	360	782
315	360	780
316	361	778
317	362	776
318	362	774
319	363	772
320	364	770
321	364	767
322	365	765
323	365	763
324	366	760
325	366	758
326	367	756
327	367	753
328	368	751
329	368	749
330	369	746
331	370	744
332	370	742
333	371	740
334	371	738
335	372	735
336	372	733
337	373	731
338	374	729
339	374	727
340	375	724
341	375	722
342	376	720
343	376	718
344	377	716
345	378	714
346	378	713
347	379	711
348	380	709
349	380	707
350	381	705
351	382	703
352	382	701
353	383	699
354	383	697
355	384	695
356	384	693
357	385	690
358	385	688
359	386	686
360	386	684
361	387	682
362	387	680
363	388	678
364	389	676
365	389	674
366	390	672
367	390	671
368	391	669
369	392	667
370	392	665
371	393	664
372	394	662
373	394	660
374	395	658
375	395	656
376	396	654
377	396	652
378	397	650
379	397	648
380	398	647
381	398	645
382	399	643
383	399	641
384	400	639
385	400	637
386	401	635
387	402	634
388	402	632
389	403	630
390	403	628
391	404	626
392	404	625
393	405	623
394	406	621
395	406	620
396	407	618
397	408	617
398	408	615
399	409	613
400	409	612
401	410	610
402	410	608
403	411	606
404	411	605
405	412	603
406	412	601
407	413	599
408	414	598
409	414	596
410	415	594
411	415	593
412	416	591
413	416	589
414	417	588
415	417	586
416	418	584
417	418	583
418	419	581
419	419	579
420	420	578
421	420	576
422	421	575
423	422	573
424	422	571
425	423	570
426	423	568
427	424	567
428	425	565
429	425	564
430	426	562
431	426	560
432	427	559
433	427	557
434	428	556
435	428	554
436	429	552
437	429	551
438	430	549
439	430	548
440	431	546
441	431	545
442	432	543
443	432	542
444	433	540
445	434	539
446	434	537
447	435	536
448	436	535
449	436	534
450	437	532
451	438	531
452	439	530
453	439	529
454	440	527
455	441	526
456	442	525
457	442	523
458	443	522
459	444	521
460	444	520
461	445	518
462	446	517
463	446	516
464	447	514
465	447	513
466	448	511
467	449	510
468	449	509
469	450	507
470	451	506
471	451	505
472	452	503
473	452	502
474	453	501
475	453	499
476	454	498
477	455	496
478	455	495
479	456	494
480	456	492
481	457	491
482	457	489
483	458	488
484	458	487
485	459	485
486	459	484
487	460	482
488	460	481
489	461	480
490	461	478
491	462	477
492	463	476
493	463	474
494	464	473
495	464	472
496	465	470
497	465	469
498	466	468
499	466	466
500	467	465
501	468	464
502	468	463
503	469	461
504	470	460
505	470	459
506	471	458
507	472	457
508	472	455
509	473	454
510	473	453
511	474	451
512	474	450
513	475	449
514	475	447
515	476	446
516	476	445
517	477	444
518	477	442
519	478	441
520	478	440
521	479	438
522	479	437
523	480	436
524	480	435
525	481	433
526	482	432
527	482	431
528	483	430
529	484	429
530	485	428
531	485	427
532	486	425
533	486	424
534	487	423
535	487	422
536	488	420
537	488	419
538	489	418
539	489	417
540	490	415
541	490	414
542	491	413
543	491	412
544	492	411
545	492	409
546	493	408
547	493	407
548	494	406
549	495	405
550	495	403
551	496	402
552	497	401
553	497	400
554	498	399
555	499	398
556	499	397
557	500	396
558	500	394
559	501	393
560	501	392
561	502	391
562	502	390
563	503	389
564	503	387
565	504	386
566	504	385
567	505	384
568	505	383
569	506	381
570	506	380
571	507	379
572	507	378
573	508	377
574	509	376
575	509	375
576	510	373
577	510	372
578	511	371
579	511	370
580	512	369
581	513	368
582	514	367
583	514	366
584	515	365
585	515	364
586	516	363
587	516	362
588	517	360
589	517	359
590	518	358
591	518	357
592	519	356
593	519	355
594	520	354
595	521	353
596	521	352
597	522	350
598	522	349
599	523	348
600	523	347
601	524	346
602	524	345
603	525	344
604	525	343
605	526	342
606	527	341
607	527	340
608	528	339
609	529	338
610	529	337
611	530	336
612	530	335
613	531	334
614	532	333
615	532	331
616	533	330
617	533	329
618	534	328
619	534	327
620	535	326
621	535	325
622	536	324
623	536	323
624	537	322
625	538	321
626	538	320
627	539	319
628	539	318
629	540	317
630	540	316
631	541	315
632	541	314
633	542	313
634	543	312
635	543	311
636	544	310
637	545	309
638	545	308
639	546	307
640	546	306
641	547	305
642	547	304
643	548	303
644	548	302
645	549	301
646	549	299
647	550	298
648	550	297
649	551	296
650	551	295
651	552	294
652	552	293
653	553	292
654	554	291
655	554	290
656	555	289
657	555	288
658	556	287
659	556	286
660	557	285
661	558	284
662	558	284
663	559	283
664	560	282
665	560	281
666	561	280
667	561	279
668	562	278
669	562	277
670	563	276
671	563	275
672	564	274
673	564	273
674	565	272
675	565	271
676	566	270
677	566	269
678	567	268
679	567	267
680	568	266
681	568	265
682	569	264
683	570	263
684	570	262
685	571	261
686	571	260
687	572	259
688	573	258
689	573	257
690	574	256
691	575	255
692	575	255
693	576	254
694	576	253
695	577	252
696	578	251
697	578	250
698	579	249
699	579	248
700	580	247
701	580	246
702	581	245
703	582	244
704	582	243
705	583	242
706	583	241
707	584	240
708	584	239
709	585	239
710	585	238
711	586	237
712	586	236
713	587	235
714	587	234
715	588	233
716	589	232
717	589	231
718	590	230
719	591	229
720	591	229
721	592	228
722	593	227
723	593	226
724	594	225
725	594	224
726	595	223
727	595	222
728	596	221
729	596	220
730	597	219
731	597	218
732	598	217
733	598	216
734	599	216
735	599	215
736	600	214
737	600	213
738	601	212
739	602	211
740	602	210
741	603	209
742	603	208
743	604	208
744	605	207
745	605	206
746	606	205
747	606	204
748	607	203
749	607	202
750	608	201
751	608	200
752	609	199
753	609	199
754	610	198
755	611	197
756	611	196
757	612	195
758	612	194
759	613	193
760	613	192
761	614	191
762	614	190
763	615	190
764	615	189
765	616	188
766	617	187
767	617	186
768	618	185
769	619	184
770	619	184
771	620	183
772	621	182
773	621	181
774	622	180
775	622	179
776	623	178
777	623	177
778	624	177
779	624	176
780	625	175
781	625	174
782	626	173
783	626	172
784	627	171
785	628	170
786	628	170
787	629	169
788	629	168
789	630	167
790	630	166
791	631	165
792	632	165
793	632	164
794	633	163
795	634	162
796	635	161
797	636	161
798	637	160
799	637	159
800	638	158
801	639	157
802	639	156
803	640	156
804	641	155
805	641	154
806	642	153
807	643	152
808	644	152
809	644	151
810	645	150
811	645	149
812	646	148
813	646	147
814	647	146
815	647	146
816	648	145
817	649	144
818	649	143
819	650	142
820	651	141
821	651	141
822	652	140
823	652	139
824	653	138
825	654	137
826	654	136
827	655	136
828	655	135
829	656	134
830	656	133
831	657	132
832	658	131
833	658	131
834	659	130
835	659	129
836	660	128
837	661	127
838	661	126
839	662	126
840	662	125
841	663	124
842	663	123
843	664	122
844	665	122
845	665	121
846	666	120
847	666	119
848	667	118
849	668	117
850	669	117
851	669	116
852	670	115
853	670	114
854	671	113
855	672	113
856	672	112
857	673	111
858	673	110
859	674	109
860	674	108
861	675	108
862	676	107
863	676	106
864	677	105
865	677	104
866	678	104
867	678	103
868	679	102
869	680	101
870	681	100
871	681	100
872	682	99
873	683	98
874	683	97
875	684	96
876	684	96
877	685	95
878	686	94
879	686	93
880	687	92
881	687	92
882	688	91
883	688	90
884	689	89
885	689	88
886	690	87
887	690	87
888	691	86
889	691	85
890	692	84
891	692	83
892	693	83
893	693	82
894	694	81
895	695	80
896	696	79
897	696	79
898	697	78
899	697	77
900	698	76
901	698	75
902	699	75
903	700	74
904	700	73
905	701	72
906	701	71
907	702	71
908	702	70
909	703	69
910	703	68
911	704	67
912	704	67
913	705	66
914	705	65
915	706	64
916	706	63
917	707	63
918	707	62
919	708	61
920	708	60
921	709	60
922	710	59
923	710	58
924	711	57
925	711	56
926	712	56
927	713	55
928	713	54
929	714	53
930	714	52
931	715	52
932	715	51
933	716	50
934	717	49
935	717	49
936	718	48
937	718	47
938	719	46
939	719	45
940	720	45
941	720	44
942	721	43
943	721	42
944	722	42
945	723	41
946	723	40
947	724	39
948	724	38
949	725	38
950	725	37
951	726	36
952	727	35
953	727	35
954	728	34
955	728	33
956	729	32
957	730	32
958	730	31
959	731	30
960	731	29
961	732	28
962	732	28
963	733	27
964	733	26
965	734	25
966	735	25
967	735	24
968	736	23
969	736	22
970	737	22
971	737	21
972	738	20
973	739	19
974	739	18
975	740	18
976	740	17
977	741	16
978	742	15
979	743	15
980	743	14
981	744	13
982	744	12
983	745	12
984	745	11
985	746	10
986	746	9
987	747	9
988	747	8
989	748	7
990	748	6
991	749	6
992	750	5
993	750	4
994	751	3
995	751	3
996	752	2
997	752	1
998	753	0
999	754	0
